"","Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","RainToday","Humidity9am","Cloud9am","Pressure9am","WindDir9am","WindDir3pm","RainTomorrow"
"1","PearceRAAF",17.9,33.5,0,"ENE",39,"No",30,1,1016.4,"NNE","WSW","No"
"2","Wollongong",15.1,20.3,2,"SSE",44,"Yes",58,4,1017.3,"SSE","W","No"
"3","Moree",18.5,27.9,0,"S",39,"Yes",80,5,1004.3,"SSW","WSW","No"
"4","CoffsHarbour",22.2,27.6,0,"SSW",46,"No",82,7,1011.4,"SSW","S","No"
"5","Brisbane",17.8,26.8,0,"ENE",19,"No",68,4,1021,"WSW","E","No"
"6","Canberra",8.3,13.2,0.6,"NW",39,"No",68,1,1023.6,"NNW","NW","No"
"7","PerthAirport",20.9,25.6,0,"SSE",37,"No",64,6,1012.9,"SSW","SSE","No"
"8","PerthAirport",7.2,19.2,0,"SW",28,"No",99,2,1024.4,"SSW","W","No"
"9","WaggaWagga",5.2,12.4,0,"ESE",20,"No",94,8,1021.1,"ENE","ENE","Yes"
"10","PerthAirport",12.1,30.5,0,"SSW",30,"No",73,5,1016.4,"NNE","SSW","No"
"11","Brisbane",16.85,29.6,0,"ENE",37,"No",58,7,1017.3,"ESE","ESE","No"
"12","PerthAirport",16.2,23,0.8,"NNE",39,"No",84,7,1021.9,"SW","SE","No"
"13","Sale",9.1,24.5,0.2,"S",37,"No",96,6,1019.4,"NNW","S","Yes"
"14","Canberra",8.9,26,0,"NE",31,"No",74,1,1016.1,"SE","NE","Yes"
"15","Portland",4.7,15.9,0.2,"ENE",17,"No",96,7,1017.9,"ENE","ENE","No"
"16","Cairns",23,30.4,0,"E",39,"No",74,5,1013.5,"SSE","W","No"
"17","Williamtown",19.6,28.4,0.4,"SW",33,"No",76,5,1010.7,"W","ESE","Yes"
"18","Watsonia",4.5,14.7,0,"E",43,"No",55,7,1022.2,"NE","NNE","No"
"19","Bendigo",21.5,30.3,0,"E",54,"Yes",52,6,1001.5,"WSW","W","No"
"20","Townsville",13.5,27.5,0,"NE",39,"No",59,1,1017.3,"NE","ENE","No"
